Logic,operationId,tags,description,parameters
skipped,getNetworkFloorPlan,"['networks', 'configure', 'floorPlans']",Find a floor plan by ID,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'floorPlanId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkGroupPolicy,"['networks', 'configure', 'groupPolicies']",Display a group policy,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'groupPolicyId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkMerakiAuthUser,"['networks', 'configure', 'merakiAuthUsers']","Return the Meraki Auth splash guest, RADIUS, or client VPN user","[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'merakiAuthUserId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkMqttBroker,"['networks', 'configure', 'mqttBrokers']",Return an MQTT broker,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'mqttBrokerId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkPiiRequests,"['networks', 'configure', 'pii', 'requests']",List the PII requests for this network or organization,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkAppliancePort,"['appliance', 'configure', 'ports']",Return per-port VLAN settings for a single MX port.,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'portId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkApplianceStaticRoute,"['appliance', 'configure', 'staticRoutes']",Return a static route for an MX or teleworker network,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'staticRouteId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkApplianceTrafficShapingCustomPerformanceClass,"['appliance', 'configure', 'trafficShaping', 'customPerformanceClasses']",Return a custom performance class for an MX network,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'customPerformanceClassId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkApplianceVlan,"['appliance', 'configure', 'vlans']",Return a VLAN,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'vlanId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkCameraQualityRetentionProfile,"['camera', 'configure', 'qualityRetentionProfiles']",Retrieve a single quality retention profile,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'qualityRetentionProfileId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkSmTargetGroup,"['sm', 'configure', 'targetGroups']",Return a target group,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'targetGroupId', 'in': 'path', 'type': 'string', 'required': True}, {'type': 'boolean', 'name': 'withDetails', 'in': 'query', 'description': 'Boolean indicating if the the ids of the devices or users scoped by the target group should be included in the response'}]"
skipped,getNetworkSmTargetGroups,"['sm', 'configure', 'targetGroups']",List the target groups in this network,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'type': 'boolean', 'name': 'withDetails', 'in': 'query', 'description': 'Boolean indicating if the the ids of the devices or users scoped by the target group should be included in the response'}]"
skipped,getNetworkSwitchAccessPolicy,"['switch', 'configure', 'accessPolicies']",Return a specific access policy for a switch network,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'accessPolicyNumber', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkSwitchQosRule,"['switch', 'configure', 'qosRules']",Return a quality of service rule,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'qosRuleId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkSwitchRoutingMulticastRendezvousPoint,"['switch', 'configure', 'routing', 'multicast', 'rendezvousPoints']",Return a multicast rendezvous point,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'rendezvousPointId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkSwitchStackRoutingInterface,"['switch', 'configure', 'switchStacks', 'routing', 'interfaces']",Return a layer 3 interface from a switch stack,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'switchStackId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'interfaceId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkSwitchStackRoutingStaticRoute,"['switch', 'configure', 'switchStacks', 'routing', 'staticRoutes']",Return a layer 3 static route for a switch stack,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'switchStackId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'staticRouteId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkWebhooksHttpServer,"['networks', 'configure', 'webhooks', 'httpServers']",Return an HTTP server for a network,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'id', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkWirelessRfProfile,"['wireless', 'configure', 'rfProfiles']",Return a RF profile,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'rfProfileId', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkWirelessSsid,"['wireless', 'configure', 'ssids']",Return a single SSID,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'number', 'in': 'path', 'type': 'string', 'required': True}]"
skipped,getNetworkWirelessSsidIdentityPsk,"['wireless', 'configure', 'ssids', 'identityPsks']",Return an Identity PSK,"[{'name': 'networkId', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'number', 'in': 'path', 'type': 'string', 'required': True}, {'name': 'identityPskId', 'in': 'path', 'type': 'string', 'required': True}]"
